"subject" "label" "mean" "std_dev"
"1" "laying" 0.22159824394 -0.0405139534294
"1" "sitting" 0.261237565425532 -0.00130828765170213
"1" "standing" 0.278917629056604 -0.0161375901037736
"1" "walking" 0.277330758736842 -0.0173838185273684
"1" "walking_downstairs" 0.289188320408163 -0.00991850461020408
"1" "walking_upstairs" 0.255461689622641 -0.0239531492643396
"2" "laying" 0.281373403958333 -0.0181587397583333
"2" "sitting" 0.27708735173913 -0.0156879937282609
"2" "standing" 0.277911472222222 -0.0184208270166667
"2" "walking" 0.276426586440678 -0.0185949199145763
"2" "walking_downstairs" 0.27761534806383 -0.0226614158361702
"2" "walking_upstairs" 0.247164790395833 -0.0214121132045833
"3" "laying" 0.275516852741935 -0.0189556785048387
"3" "sitting" 0.257197599134615 -0.00350299841730769
"3" "standing" 0.280046513278689 -0.0143376555065574
"3" "walking" 0.275567462068966 -0.0171767844203448
"3" "walking_downstairs" 0.292423484693878 -0.0193554079328571
"3" "walking_upstairs" 0.260819873067797 -0.0324109410555932
"4" "laying" 0.263559214981481 -0.0150031841055556
"4" "sitting" 0.27153827992 -0.007163065158
"4" "standing" 0.280499745892857 -0.00948911098553571
"4" "walking" 0.278582015166667 -0.0148399475341667
"4" "walking_downstairs" 0.279965329555556 -0.00980200850666667
"4" "walking_upstairs" 0.270876696730769 -0.0319804295729615
"5" "laying" 0.278334325576923 -0.0183042123269231
"5" "sitting" 0.273694139545455 -0.00990083527045455
"5" "standing" 0.282544390892857 -0.00700418554517857
"5" "walking" 0.27784234625 -0.0172850317482679
"5" "walking_downstairs" 0.29354392712766 -0.00850107533191489
"5" "walking_upstairs" 0.268459469914894 -0.0325269755153191
"6" "laying" 0.248656520140351 -0.0102529170561404
"6" "sitting" 0.276778487454545 -0.0145911615290909
"6" "standing" 0.280346248596491 -0.0181236327175439
"6" "walking" 0.283658868070175 -0.0168954189082456
"6" "walking_downstairs" 0.277045258145833 -0.019536840063125
"6" "walking_upstairs" 0.268229355098039 -0.0272425385070588
"7" "laying" 0.250176694038462 -0.0204411516884615
"7" "sitting" 0.284674637291667 -0.01461097580375
"7" "standing" 0.282723539433962 -0.0145740341037736
"7" "walking" 0.275592961754386 -0.018653665345614
"7" "walking_downstairs" 0.28030708 -0.0166332372978723
"7" "walking_upstairs" 0.248706923078431 -0.0275639005607843
"8" "laying" 0.261254282907407 -0.0212281733881481
"8" "sitting" 0.267491472934783 -0.00672550621304348
"8" "standing" 0.279620986111111 -0.0148113067148148
"8" "walking" 0.27468631 -0.0186628865310417
"8" "walking_downstairs" 0.283484089210526 -0.0211058674973684
"8" "walking_upstairs" 0.258880152048781 -0.0282415136341463
"9" "laying" 0.2591955368 -0.020526821662
"9" "sitting" 0.24832674354 -0.02701677698
"9" "standing" 0.282310057333333 -0.0200454954022222
"9" "walking" 0.278502842115385 -0.0180891971284423
"9" "walking_downstairs" 0.295923445 -0.0203994269075476
"9" "walking_upstairs" 0.262436475714286 -0.0195101099975714
"10" "laying" 0.280230574137931 -0.024294484137931
"10" "sitting" 0.270612056481481 -0.015042681852037
"10" "standing" 0.276650300681818 -0.0155418603409091
"10" "walking" 0.278574076603774 -0.017022351190566
"10" "walking_downstairs" 0.290401594315789 -0.0200050770710526
"10" "walking_upstairs" 0.267121853404255 -0.0143854920340426
"11" "laying" 0.280592970877193 -0.0176598052315789
"11" "sitting" 0.276590197358491 -0.0149195616754717
"11" "standing" 0.277715562765957 -0.0171990886595745
"11" "walking" 0.271821892881356 -0.0166475833623729
"11" "walking_downstairs" 0.291605631956522 -0.0178097721219565
